Timestamp (s),Motor ID,CAN ID,Target RPM,Raw Frame (Hex)
0.017,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.049,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.077,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.110,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.149,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.158,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.175,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.216,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.249,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.283,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.316,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.349,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.366,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.383,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.400,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.416,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.483,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.516,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.549,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.582,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.616,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.649,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.683,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.716,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.733,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.749,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.782,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.816,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.849,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.866,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.883,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.916,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
0.949,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
0.966,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
0.983,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
0.999,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
1.049,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
1.066,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
1.099,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
1.130,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
1.161,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
1.192,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
1.225,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
1.250,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
1.291,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
1.308,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
1.323,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
1.355,0xD4,0x18530905,100,AA E8 05 09 53 18 D4 64 00 00 00 00 00 00 55
1.370,0xD1,0x18530905,100,AA E8 05 09 53 18 D1 64 00 00 00 00 00 00 55
1.386,0xD2,0x18530905,100,AA E8 05 09 53 18 D2 64 00 00 00 00 00 00 55
1.418,0xD3,0x18530905,100,AA E8 05 09 53 18 D3 64 00 00 00 00 00 00 55
