Timestamp (s),Motor ID,CAN ID,Target RPM,Raw Frame (Hex)
0.106,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
0.106,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
0.106,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
0.106,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
0.302,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
0.302,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
0.302,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
0.302,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
0.470,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
0.470,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
0.470,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
0.470,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
0.658,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
0.658,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
0.658,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
0.658,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
0.850,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
0.850,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
0.850,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
0.850,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
1.063,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
1.063,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
1.063,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
1.063,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
1.250,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
1.250,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
1.250,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
1.250,0xD4,0x18530905,0,AA E8 05 09 53 18 D4 00 00 00 00 00 00 00 55
1.447,0xD1,0x18530905,0,AA E8 05 09 53 18 D1 00 00 00 00 00 00 00 55
1.447,0xD2,0x18530905,0,AA E8 05 09 53 18 D2 00 00 00 00 00 00 00 55
1.447,0xD3,0x18530905,0,AA E8 05 09 53 18 D3 00 00 00 00 00 00 00 55
